"date","year","month","temp"
"2018-10-01",2018,10,8.12
"2018-11-01",2018,11,4.02
"2018-12-01",2018,12,0
"2019-01-01",2019,1,-0.82
"2019-02-01",2019,2,-1.59
"2019-03-01",2019,3,3.91
"2019-04-01",2019,4,10.48
"2019-05-01",2019,5,14.82
"2019-06-01",2019,6,18.76
"2019-07-01",2019,7,21.16
"2019-08-01",2019,8,21.78
"2019-09-01",2019,9,14.78
"2019-10-01",2019,10,11.39
"2019-11-01",2019,11,3.49
"2019-12-01",2019,12,-0.1
"2020-01-01",2020,1,-3.09
"2020-02-01",2020,2,-1.53
"2020-03-01",2020,3,5.22
"2020-04-01",2020,4,8.85
"2020-05-01",2020,5,15.98
"2020-06-01",2020,6,20.72
"2020-07-01",2020,7,20.09
"2020-08-01",2020,8,21.42
"2020-09-01",2020,9,14.97
"2020-10-01",2020,10,7.89
"2020-11-01",2020,11,5.68
"2020-12-01",2020,12,-1.05
"2021-01-01",2021,1,-3.72
"2021-02-01",2021,2,2.94
"2021-03-01",2021,3,8
"2021-04-01",2021,4,8.21
"2021-05-01",2021,5,17.58
"2021-06-01",2021,6,21.81
"2021-07-01",2021,7,22.95
"2021-08-01",2021,8,21.62
"2021-09-01",2021,9,19.07
"2021-10-01",2021,10,8.48
"2021-11-01",2021,11,4.41
"2021-12-01",2021,12,0.29
"2022-01-01",2022,1,0.87
"2022-02-01",2022,2,-0.55
"2022-03-01",2022,3,2.7
"2022-04-01",2022,4,11.37
"2022-05-01",2022,5,18.4
"2022-06-01",2022,6,18.45
"2022-07-01",2022,7,20.86
"2022-08-01",2022,8,20.29
"2022-09-01",2022,9,14.18
"2022-10-01",2022,10,7.8
"2022-11-01",2022,11,3.11
"2022-12-01",2022,12,0.59
"2023-01-01",2023,1,-0.86
"2023-02-01",2023,2,-0.5
"2023-03-01",2023,3,6.6
"2023-04-01",2023,4,10.63
"2023-05-01",2023,5,15.25
"2023-06-01",2023,6,19.64
"2023-07-01",2023,7,22.92
"2023-08-01",2023,8,22
"2023-09-01",2023,9,15.51
"2023-10-01",2023,10,8.61
"2023-11-01",2023,11,6.26
"2023-12-01",2023,12,3.22
