"date","year","month","cena_pln","data_origin"
"2021-03-01",2021,3,110.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-04-01",2021,4,97.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-05-01",2021,5,87.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-06-01",2021,6,91,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-07-01",2021,7,92.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-08-01",2021,8,101.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-09-01",2021,9,109.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-10-01",2021,10,108.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-11-01",2021,11,109.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-12-01",2021,12,106.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-01-01",2022,1,113.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-02-01",2022,2,122.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-03-01",2022,3,158.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-04-01",2022,4,198.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-05-01",2022,5,234.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-06-01",2022,6,265,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-07-01",2022,7,265.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-08-01",2022,8,303.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-09-01",2022,9,309.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-10-01",2022,10,291.2,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-11-01",2022,11,271.3,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-12-01",2022,12,261.1,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-01-01",2023,1,259,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-02-01",2023,2,244,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-03-01",2023,3,231.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-04-01",2023,4,226.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-05-01",2023,5,209.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-06-01",2023,6,191.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-07-01",2023,7,195.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-08-01",2023,8,219.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-09-01",2023,9,220.7,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-10-01",2023,10,203,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-11-01",2023,11,188.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-12-01",2023,12,179.9,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
