"date","year","month","stopa","data_origin"
"2021-02-01",2021,2,6.19,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-03-01",2021,3,5.41,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-04-01",2021,4,5.08,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-05-01",2021,5,4.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-06-01",2021,6,4.34,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-07-01",2021,7,4.51,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-08-01",2021,8,4.36,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-09-01",2021,9,4.59,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-10-01",2021,10,4.8,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-11-01",2021,11,5.41,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2021-12-01",2021,12,5.39,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-01-01",2022,1,5.24,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-02-01",2022,2,5.02,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-03-01",2022,3,4.5,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-04-01",2022,4,3.91,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-05-01",2022,5,3.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-06-01",2022,6,3.55,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-07-01",2022,7,3.81,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-08-01",2022,8,3.73,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-09-01",2022,9,3.88,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-10-01",2022,10,4.03,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-11-01",2022,11,4.53,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2022-12-01",2022,12,4.35,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-01-01",2023,1,4.44,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-02-01",2023,2,4.38,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-03-01",2023,3,4.07,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-04-01",2023,4,3.71,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-05-01",2023,5,3.44,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-06-01",2023,6,3.13,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-07-01",2023,7,3.44,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-08-01",2023,8,3.45,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-09-01",2023,9,3.59,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-10-01",2023,10,3.85,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-11-01",2023,11,4.4,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
"2023-12-01",2023,12,4.6,"Dane syntetyczne — scenariusz dydaktyczny, nie obserwacje urzędowe"
